Date,Date,Open,High,Low,Close,Volume,K,D,Signal
2005-06-01,2005-06-01,30.79,32.38,30.42,30.79,1180982593.0,88.6501691355516,84.24811930124112,-1.0
2005-07-01,2005-07-01,30.89,35.09,30.6,33.5,1031840038.0,86.71703222481,86.23645163858582,
2005-08-01,2005-08-01,33.5,34.35,30.89,31.64,1010788758.0,74.99129044945802,83.45283060327323,
2005-09-01,2005-09-01,31.64,35.58,31.64,34.57,909828835.0,78.76320468779018,80.15717578735274,
2005-10-01,2005-10-01,34.77,35.34,31.03,32.84,563619055.0,66.41107948864651,73.38852487529824,
2005-11-01,2005-11-01,33.52,38.51,33.52,38.39,630586660.0,78.20485572802401,74.45971330148693,
2005-12-01,2005-12-01,38.39,41.79,38.28,40.77,595075675.0,78.6747865457571,74.43024058747591,
2006-01-01,2006-01-01,40.32,51.65,40.21,48.7,808726259.0,91.60621209532263,82.82861812303462,-1.0
2006-02-01,2006-02-01,48.7,49.83,44.28,46.66,619407768.0,84.04529909206049,84.77543257771343,
2006-03-01,2006-03-01,45.76,47.79,41.11,45.53,862493662.0,75.91249675218081,83.85466931318798,
2006-04-01,2006-04-01,45.64,51.65,45.42,49.04,492144632.0,74.17422414056306,78.04400666160147,
2006-05-01,2006-05-01,49.04,53.23,44.51,46.44,544460689.0,64.85731360028653,71.64801149767682,
2006-06-01,2006-06-01,46.44,47.57,42.59,45.3,858263015.0,54.299701027115255,64.4437462559883,
2006-07-01,2006-07-01,45.87,46.89,40.09,43.94,659604787.0,37.240089084766446,52.1323679040561,
2006-08-01,2006-08-01,44.17,52.05,43.38,50.42,713078881.0,47.49524039161904,46.34501016783361,
2006-09-01,2006-09-01,51.7,58.03,51.7,55.42,735588958.0,64.45542303195667,49.73025083611409,
2006-10-01,2006-10-01,55.83,61.61,55.56,59.27,481404960.0,84.3976051183054,65.44942284729375,
2006-11-01,2006-11-01,59.41,66.83,59.41,64.77,613874629.0,88.95802818622326,79.27035211216182,-1.0
2006-12-01,2006-12-01,64.77,65.59,61.19,63.94,493083304.0,89.69949524177207,87.68504284876695,-1.0
2007-01-01,2007-01-01,63.94,69.86,53.17,61.88,654992204.0,78.67645346524618,85.77799229774722,
2007-02-01,2007-02-01,62.43,64.77,60.23,63.26,376850704.0,68.06284579944874,78.8129315021557,
2007-03-01,2007-03-01,60.51,62.02,54.59,61.06,696830067.0,54.59548262388601,67.11159396286034,
2007-04-01,2007-04-01,59.96,62.71,59.41,60.92,493017204.0,51.38805672059115,58.015461714641994,
2007-05-01,2007-05-01,60.92,68.21,60.92,64.22,521481032.0,53.305372478530046,53.09630394100244,
2007-06-01,2007-06-01,66.42,82.51,66.01,78.11,689135092.0,65.62766281933085,56.77369733948405,
2007-07-01,2007-07-01,78.11,82.37,63.03,74.81,680369228.0,74.28973362793518,64.40758964193206,
2007-08-01,2007-08-01,73.43,83.17,67.11,80.86,1121468965.0,82.31322296508539,74.0768731374505,
2007-09-01,2007-09-01,81.58,83.08,76.25,81.91,622955341.0,85.67868662261948,80.76054773854672,
2007-10-01,2007-10-01,82.25,86.07,77.58,81.91,769571230.0,88.8531002913025,85.61500329300249,-1.0
2007-11-01,2007-11-01,82.25,82.74,63.1,68.59,1147554689.0,66.8044891801914,80.44542536470449,
2007-12-01,2007-12-01,68.76,70.09,56.27,65.26,974262627.0,45.41472470792939,67.02410472647448,
2008-01-01,2008-01-01,65.26,67.26,52.61,56.44,1334540858.0,21.915410988950388,44.71154162569044,
2008-02-01,2008-02-01,57.6,64.6,54.28,62.6,563388426.0,23.82361121697279,30.384582304617567,
2008-03-01,2008-03-01,60.27,63.43,54.94,57.94,912830929.0,19.66435279095755,21.80112499896029,
2008-04-01,2008-04-01,57.27,63.6,56.77,58.77,1046115880.0,27.595609894969176,23.694524634299885,
2008-05-01,2008-05-01,58.77,61.27,53.11,57.27,1611864874.0,28.246386092177463,25.168782926034776,
2008-06-01,2008-06-01,59.27,61.27,49.11,49.78,945764522.0,23.79150650896975,26.54450083203884,
2008-07-01,2008-07-01,49.95,51.28,44.12,49.78,1122125108.0,21.72989546860212,24.58926268991649,
2008-08-01,2008-08-01,49.28,59.1,48.78,53.28,1103862897.0,26.80113331822123,24.107511765264416,
2008-09-01,2008-09-01,49.61,50.95,42.31,42.89,1563259562.0,26.379033492463662,24.970020759762388,
2008-10-01,2008-10-01,45.08,45.08,25.57,31.23,1416038157.0,21.978666911882073,25.052944574189038,
2008-11-01,2008-11-01,31.34,32.01,20.53,25.14,89071590098.0,10.28856933202646,19.54875657879078,1.0
2008-12-01,2008-12-01,25.14,27.24,22.64,25.06,54854840419.0,13.18383856870028,15.150358270869653,1.0
2009-01-01,2009-01-01,25.06,28.3,22.8,23.03,24862919877.0,10.638483806150946,11.370297235625943,1.0
