Date,Date,Open,High,Low,Close,Volume,K_BUY,D_BUY,K_SELL,D_SELL,Signal_Buy,Signal_Sell,Signal
2004-05-01,2004-05-01,21.1,22.06,19.66,21.42,939110364.0,34.782608695652215,27.00982334337134,66.46408807069027,62.67036498614095,,,0
2004-06-01,2004-06-01,21.51,22.87,18.45,20.06,1169028321.0,27.806563039723656,21.49050822551743,68.89271705349233,66.03103309792937,,,0
2004-07-01,2004-07-01,20.06,20.06,17.65,19.66,818685244.0,31.703470031545766,31.430880588973878,69.24519030150849,68.20066514189709,,,0
2004-08-01,2004-08-01,19.58,20.95,18.45,20.58,1152281524.0,56.13026819923368,38.5467670901677,69.37415935322942,69.17068890274346,,,0
2004-09-01,2004-09-01,21.15,22.74,20.59,21.9,833737839.0,81.41762452107275,56.41712091728406,69.77739578078727,69.46558181184179,,,0
2004-10-01,2004-10-01,22.0,23.4,21.71,23.02,741001985.0,93.3913043478261,76.97973235604417,70.35983937328986,69.83713150243557,,,0
2004-11-01,2004-11-01,23.02,25.27,22.84,24.33,1177572420.0,86.21700879765395,87.00864588885092,73.08378770026611,71.07367428478113,,,0
2004-12-01,2004-12-01,24.05,27.51,23.77,27.51,1205458035.0,100.00000000000001,93.20277104849333,76.606170436132,73.34993250322937,,,0
2005-01-01,2005-01-01,27.51,27.61,25.08,26.2,691222647.0,76.10169491525423,87.4395679043027,76.83027396683168,75.50674403440998,,,0
2005-02-01,2005-02-01,26.3,27.42,26.02,27.05,649411996.0,88.25995807127886,88.12055099551101,77.81218300888,77.08287580394794,,,0
2005-03-01,2005-03-01,27.05,28.26,25.18,26.2,1003503965.0,54.12026726057903,72.82730674903736,78.53549281343255,77.72598326304814,,,0
2005-04-01,2005-04-01,26.2,28.08,25.74,27.8,1058304598.0,85.53459119496856,75.97160550894213,81.01812546835906,79.12193376355727,,,0
2005-05-01,2005-05-01,27.8,30.89,26.2,30.79,1281881993.0,98.24868651488613,79.30118165681121,83.4601858831404,81.00460138831073,,,0
2005-06-01,2005-06-01,30.79,32.38,30.42,30.79,1180982593.0,77.91666666666663,87.23331479217374,86.07155001239653,83.51662045463206,,,0
2005-07-01,2005-07-01,30.89,35.09,30.6,33.5,1031840038.0,82.99465240641707,86.38666852932325,88.96728150378378,86.16633913310697,,-1.0,-1
2005-08-01,2005-08-01,33.5,34.35,30.89,31.64,1010788758.0,61.192350956130475,74.0345566764047,90.73051814168599,88.58978321928883,,-1.0,-1
2005-09-01,2005-09-01,31.64,35.58,31.64,34.57,909828835.0,80.42635658914732,74.87111998389827,92.61612192352857,90.77130718966617,,-1.0,-1
2005-10-01,2005-10-01,34.77,35.34,31.03,32.84,563619055.0,44.97991967871493,62.19954240799756,93.3166598460446,92.22109997041979,,-1.0,-1
2005-11-01,2005-11-01,33.52,38.51,33.52,38.39,630586660.0,98.42519685039373,74.61049103941865,94.18485940284889,93.37254705747408,,-1.0,-1
2005-12-01,2005-12-01,38.39,41.79,38.28,40.77,595075675.0,90.52044609665431,77.97518754192099,93.8903341083236,93.79728445240575,,-1.0,-1
2006-01-01,2006-01-01,40.32,51.65,40.21,48.7,808726259.0,85.69350145489818,91.54638146731538,93.94742454773215,94.00753935296827,,-1.0,-1
2006-02-01,2006-02-01,48.7,49.83,44.28,46.66,619407768.0,72.47655819084389,82.89683524746545,93.14830796023818,93.66202220543137,,-1.0,-1
2006-03-01,2006-03-01,45.76,47.79,41.11,45.53,862493662.0,54.22587883320868,70.79864615965023,92.80487823942359,93.3002035824647,,-1.0,-1
2006-04-01,2006-04-01,45.64,51.65,45.42,49.04,492144632.0,77.1853146853147,67.96258390312241,92.46058543969423,92.80459054645206,,-1.0,-1
2006-05-01,2006-05-01,49.04,53.23,44.51,46.44,544460689.0,43.976897689768975,58.46269706943077,91.097664454683,92.12104271126701,,-1.0,-1
2006-06-01,2006-06-01,46.44,47.57,42.59,45.3,858263015.0,34.57095709570956,51.9110564902644,90.06707491074529,91.20844160170758,,-1.0,-1
2006-07-01,2006-07-01,45.87,46.89,40.09,43.94,659604787.0,29.29984779299845,35.94923419282565,88.68776654821217,89.95083530454689,,-1.0,-1
2006-08-01,2006-08-01,44.17,52.05,43.38,50.42,713078881.0,78.6149162861492,47.49524039161906,89.28209621119902,89.34564589005221,,-1.0,-1
2006-09-01,2006-09-01,51.7,58.03,51.7,55.42,735588958.0,85.45150501672241,64.45542303195668,89.1371759197662,89.03567955972585,,-1.0,-1
2006-10-01,2006-10-01,55.83,61.61,55.56,59.27,481404960.0,89.12639405204463,84.39760511830542,89.65176439553998,89.3570121755018,,-1.0,-1
2006-11-01,2006-11-01,59.41,66.83,59.41,64.77,613874629.0,91.21535181236672,88.59775029371126,89.37051731062171,89.38648587530936,,-1.0,-1
