,close,volume,dif,obv,obv-ma
238,106.0,22288461,-1.0,11144230.0,10164770.0
239,105.5,29810172,-1.0,14905086.0,10514234.0
240,105.0,17457242,-1.0,8728621.0,10596129.0
241,103.5,24109403,-1.0,12054702.0,10682241.0
242,103.5,27800208,0.0,13900104.0,10924145.0
243,103.5,49334401,0.0,24667200.0,11653197.0
244,105.5,22443321,1.0,11221660.0,11908048.0
245,105.0,27037026,-1.0,13518513.0,12301292.0
246,105.0,18091990,0.0,9045995.0,12313058.0
247,106.5,22698693,1.0,11349346.0,12382703.0
248,106.0,25236546,-1.0,12618273.0,12416089.0
249,105.0,35111410,-1.0,17555705.0,12722892.0
250,106.0,15077799,1.0,7538900.0,12632987.0
251,105.0,20356210,-1.0,10178105.0,12476051.0
252,104.5,17305354,-1.0,8652677.0,12265306.0
253,104.5,22026866,0.0,11013433.0,12422320.0
254,105.0,22944995,1.0,11472498.0,12200929.0
255,103.5,33943652,-1.0,16971826.0,12288482.0
256,103.5,31642630,0.0,15821315.0,12561674.0
257,103.0,17983356,-1.0,8991678.0,12567493.0
258,104.5,13187322,1.0,6593661.0,12339965.0
259,103.5,11494283,-1.0,5747142.0,11882068.0
260,104.0,13822871,1.0,6911436.0,11791208.0
261,104.0,11585049,0.0,5792524.0,11478100.0
262,104.5,8809417,1.0,4404708.0,11003330.0
263,105.5,15514907,1.0,7757454.0,10157842.0
264,105.0,13358175,-1.0,6679088.0,9930714.0
265,104.0,16940701,-1.0,8470350.0,9678306.0
